포스터,제목,장르,러닝타임,회원점수,줄거리,제작비,수익,감독
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/3UKlVa1CBeQkRksHV5OfFTO52qd.jpg,Hunters,Action,1h 35m,60.0,"As John T. Wrecker continues his task of protecting a group of refugees from a virus, the threat of something new and even more dangerous grows ever closer in the form of monstrous mutants.",,,Justin Lee
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/AgHbB9DCE9aE57zkHjSmseszh6e.jpg,Damsel,"Fantasy, Action, Adventure",1h 50m,71.0,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,5000.0,,Juan Carlos Fresnadillo
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,No Way Up,"Action, Horror, Thriller",1h 30m,64.0,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,,,Claudio Fäh
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/lbOyeiiRYAE6Nm2e7xiNAAaRwZB.jpg,Baghead,"Horror, Thriller",1h 35m,66.0,"Following the death of her estranged father, Iris learns she has inherited a run-down, centuries-old pub. She travels to Berlin to identify her father’s body and meet with The Solicitor to discuss the estate. Little does she know, when the deed is signed she will become inextricably tied to an unspeakable entity that resides in the pub’s basement – Baghead – a shape-shifting creature that can transform into the dead.",6278395.0,,Alberto Corredor
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,Poor Things,"Science Fiction, Romance, Comedy",2h 22m,78.0,"Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",114912799.0,,Yorgos Lanthimos
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cIzk6GhxEZuweekGFXWEoAyuaMX.jpg,The First Omen,Horror,2h,68.0,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",17000000.0,,Arkasha Stevenson
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/h3jYanWMEJq6JJsCopy1h7cT2Hs.jpg,Land of Bad,"Action, Thriller, War",1h 53m,72.0,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",6461949.0,,William Eubank
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,Oppenheimer,"Drama, History",3h 1m,81.0,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,952000000.0,,Christopher Nolan
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/iq1t8MxKDkKuV1WqyOr2RQM0hIA.jpg,Argylle,"Action, Adventure, Comedy",2h 19m,62.0,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",94623605.0,,Matthew Vaughn
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,Godzilla vs. Kong,"Action, Science Fiction, Thriller",1h 54m,76.0,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",470116094.0,,Adam Wingard
